Names	BasekV	Nice Name
3774MCV	380	
90140TUR	380	
2204DSN	380	Dunstown
5464WOO	380	Woodland 
3934MP	380	Moneypoint
3944MP	380	Moneypoint
4384OST	380	Oldstreet 
3954MP	380	Moneypoint
5144TB	380	Tarbert 
5494WMD	380	
35231LOU	275	Louth 
35232LOU	275	Louth 
90020TAN	275	Tandragee
2842GOR	220	Gorman 
3522LOU	220	Louth 
3772MCV	220	
1742CKM	220	Carrickmines
17431CKMN_PST	220	Carrickmines
17462CKM_SR	220	Carrickmines
2042CDU	220	Corduff 
2202DSN	220	Dunstown
2562FIN	220	Finglas
2962HN	220	Huntstown
2972HN	220	Huntstown
3082INC	220	Inchicore 
3122ISH	220	Irishtown 
3842MAY	220	Maynooth
3852MAY	220	Maynooth
4242NW	220	North Wall 
4462PB	220	Poolbeg 
4472PB	220	Poolbeg 
5022SHL	220	Shellybanks 
5122SHL	220	Shellybanks 
5202TH	220	Turlough Hill
54600EW-INT	220	
5462WOO	220	Woodland 
1042AD	220	Aghada
1602CLA	220	Clashavoon 
32000KRAGEN	220	Knockraha 
3202KRA	220	Knockraha 
4722RAF	220	Raffeen
4382OST	220	Oldstreet 
5172TYN	220	Tynagh
2002CUL	220	Cullenagh 
4942SH	220	Shannonbridge 
1122ARK	220	Arklow
2742GI	220	Great Island 
3342KLS	220	Kellis 
3642LWD	220	Lodgewood
3282KLN	220	Killonan 
3942MP	220	Moneypoint
4522PRO	220	Prospect 
5142TB	220	Tarbert 
5492WMD	220	
1642CSH	220	Cashla 
2522FLA	220	Flagford 
5042SRA	220	Srananagh
1201ARTANE	110	
1421BLACKROC	110	
1581CABRA	110	
1691CENTRAL	110	
1801COOKSTOW	110	
2021CITYWES	110	
2541FRNSTA	110	
2551FRNSTB	110	
2701GLA	110	Glasmore 
2761GRA	110	Grange
2861GCA	110	Grange Castle
2941HAROLDS	110	
3081INC	110	Inchicore 
3091INC	110	Inchicore 
3421KLM	110	Kilmore
3751MISERYH	110	
3761MCE	110	Macetown 
3781MCDERMOT	110	
3861MILLTOWN	110	
3871MILLTOWN	110	
4211NORTHQU	110	
4281NAN	110	Nangor
4461PB	110	Poolbeg 
44681POOLBEG	110	
4471PB	110	Poolbeg 
4491PELLETST	110	
4511POT	110	
4651RINGSEND	110	
5031SVN	110	Stevenstown
5131TANEY	110	
51319TANEYT	110	Tandragee
5521WOLFETO	110	
1181ARV	110	Arva 
1271BAL	110	
2101DDK	110	Dundalk 
2181DRY	110	Drybridge 
2841GOR	110	Gorman 
3321KUR	110	Knockumber
3521LOU	110	Louth 
35261LOU_CAP	110	Louth 
3561LIS	110	Lisdrum 
35661LISD_CAP	110	Lisdrum 
3821MTH	110	Meath Hill 
4061MLN	110	Mullagharlin 
4221NAV	110	Navan 
4501PLA	110	Platin 
4781RRU	110	Ratrussan
4961SKL	110	Shankill 
49661SHANK_CA	110	
1741CKM	110	Carrickmines
1871COL	110	College Park 
2041CDU	110	Corduff 
2051CDU	110	Corduff 
2481FAS	110	Fassaroe
2491FAS	110	Fassaroe
2561FIN	110	Finglas
2571FIN	110	Finglas
2721GRI	110	Griffinrath
27219GRIT	110	Griffinrath
27281GRIFFINR	110	Griffinrath
3841MAY	110	Maynooth
3851MAY	110	Maynooth
4621RYB	110	Ryebrook 
4741RNW	110	Rinawade 
1041AD	110	Aghada
1281BLI	110	Ballylickey 
1381BRY	110	Barnahely 
1441BAN	110	Bandon 
14461BAN_CAP	110	Bandon 
1501BRI	110	Brinny
1511BRI	110	Brinny
1531BDM	110	
1601CLA	110	Clashavoon 
1621CRO	110	Coolroe 
1681CD	110	Carrigadrohid 
1881CHA	110	Charleville
1921COW	110	Cow Cross 
1961CVW	110	Castleview 
2081DKL	110	Dunkettle 
2221DMY	110	Dunmanway 
22261DUNM_CAP	110	
2881GLE	110	Glenlara
2981HTS	110	Hartnett's Cross 
3061IA	110	Inniscarra
3201KRA	110	Knockraha 
3221KBY	110	Kilbarry 
3601LIB	110	Liberty Street
3611LIB	110	Liberty Street
3801MID	110	Midleton 
3881MAC	110	Macroom 
3961MR	110	Marina 
39670MARINA	110	
4021MAL	110	Mallow
4341OLD	110	Oldcourt
4351OLD	110	Oldcourt
4721RAF	110	Raffeen
